Term,Frequency
say,72.22423622910374
stephen,41.99891316734714
mulligan,39.7768911278816
buck,35.04222301723527
haine,24.078997435725647
come,19.072491371265222
ask,16.606053179892875
kinch,14.345953343879282
god,13.463352606612812
mother,12.783924428573545
sir,12.303217087560444
old,11.840246039230468
make,11.816703845796368
sea,11.465563788180413
think,10.631870100908259
voice,10.300184396059212
turn,10.058909375530359
speak,9.977113235735983
face,9.586336684554889
hand,9.411893322092379
look,9.061400951152569
eye,8.419108109715935
answer,8.175355484121544
tell,7.978540351789496
o,7.774127957542506
water,7.729697119806692
like,7.57380647410603
morning,7.474663428299817
word,7.133698380274132
day,7.094578778989282
know,6.959609625434997
hold,6.840738170745165
want,6.613274073035743
man,6.556590605799327
stand,6.145204472455893
dedalus,6.051786609664299
servant,5.994540473944167
yes,5.906204749714444
key,5.6518047148456585
walk,5.6364871058115185
woman,5.5538483445995945
father,5.543292726916485
tea,5.46600932751111
smile,5.328122409257887
tower,5.25934493910476
sit,5.236034905757652
mirror,5.16694467334946
let,5.109882288922237
milk,5.0708210495499895
long,4.987389341479431
money,4.96624397525479
bring,4.7958440179972985
feel,4.744254680915617
white,4.728433102238135
irish,4.725920471248827
open,4.700390402925894
gaze,4.656300385110839
mean,4.639097958073409
round,4.6119870384498824
malachi,4.602514558539466
hear,4.542315745851331
lay,4.523186231630806
good,4.486578073939448
head,4.462968616610026
wind,4.372938357714711
begin,4.242225638165581
pour,4.197706587339292
art,4.194969529564742
shirt,4.173218940477369
laugh,4.10332822235771
doorway,4.077491135412645
grey,4.059190339370389
arm,3.9837231474182326
parapet,3.9177127779267877
wait,3.9165297726983574
bay,3.9092992556766086
young,3.904445394130141
black,3.884458767577961
time,3.8376971032872014
bend,3.8124600733436353
green,3.732730154433706
follow,3.724048484754351
sweet,3.6820897885360893
light,3.6477937245731105
drink,3.5965910367236678
table,3.5892470960948732
air,3.575608928244571
pocket,3.4339345880379826
rise,3.4171346595123797
bowl,3.3889479461009766
door,3.3698403111934327
damn,3.249317796144563
body,3.200830037829034
forward,3.200321545456401
hair,2.9792700606208324
trouser,2.684726146729589
